index,Name,# Features,# Categorical Features,# Instances,# Classes,# NaNs,Minority Class Size,id,roc,pred_time,cross_entropy,accuracy
198,heart-long-beach,14,1,200,5,0,10,1512,0.6623492920367919,0.0899515151977539,1.475222845673561,0.35
199,pwLinear,11,1,200,2,0,97,721,0.9277845777233782,0.08898186683654785,0.47639935606290235,0.83
200,prnn_crabs,8,2,200,2,0,100,446,1.0,0.0985260009765625,0.005824203688757734,1.0
201,parkinsons,23,1,195,2,0,48,1488,0.9593114241001565,0.09556031227111816,0.259272763828393,0.8877551020408163
202,pharynx,11,10,195,2,2,74,738,0.8995689655172413,0.10503649711608887,0.3881690965594762,0.7959183673469388
203,KnuggetChase3,40,1,194,2,0,36,1448,0.7536764705882353,0.09898591041564941,0.4168521436987464,0.8144329896907216
204,wisconsin,33,1,194,2,0,90,753,0.550595238095238,0.09806180000305176,0.749082070957754,0.5360824742268041
205,lowbwt,10,8,189,2,0,90,941,0.8802423112767941,0.09900617599487305,0.40269825271281756,0.8
206,triazines,61,1,186,2,0,77,788,0.7770334928229665,0.12027788162231445,0.5599374257588899,0.7634408602150538
207,chscase_funds,3,1,185,2,0,87,801,0.6381886087768441,0.032691001892089844,0.6604820912427228,0.6559139784946236
208,planning-relax,13,1,182,2,0,52,1490,0.4238095238095238,0.0874488353729248,0.5625804240231985,0.7692307692307693
209,Smartphone-Based_Recognition_of_Human_Activities,68,2,180,6,0,30,4153,0.9963903944564702,0.11614823341369629,0.2212007005802459,0.9333333333333333
210,backache,32,27,180,2,0,25,463,0.8351648351648352,0.10692143440246582,0.3482820641042458,0.8555555555555555
211,wine,14,1,178,3,0,48,187,1.0,0.08800029754638672,0.06308135083706341,1.0
212,servo,5,5,167,2,0,38,747,0.9781376518218624,0.08724451065063477,0.16733365617082677,0.9285714285714286
213,robot-failures-lp5,91,1,164,5,0,21,1520,0.7593842961154353,0.12132573127746582,1.4532328718682614,0.32926829268292684
214,analcatdata_wildcat,6,3,163,2,0,47,748,0.8197787898503579,0.06863164901733398,0.5934835604261379,0.7195121951219512
215,mc2,40,1,161,2,0,52,1054,0.6772863568215892,0.09464859962463379,0.5723421975602339,0.7037037037037037
216,corral,7,7,160,2,0,70,40669,1.0,0.07159304618835449,0.045814966213356456,1.0
217,hayes-roth,5,1,160,3,0,31,329,0.9333271878176236,0.0692446231842041,0.5055091968883062,0.7875
218,auto_price,16,2,159,2,0,54,745,0.9986023759608665,0.08560824394226074,0.0554408787184002,0.9875
219,autoPrice,16,1,159,2,0,54,756,0.9993011879804332,0.08241534233093262,0.05254038318485073,0.975
220,analcatdata_gsssexsurvey,10,6,159,2,6,35,852,0.625,0.08297395706176758,0.4796030997298658,0.8
221,TuningSVMs,81,1,156,2,0,54,41976,0.648611111111111,0.11336374282836914,0.6713257857586424,0.6282051282051282
222,grub-damage,9,7,155,4,0,19,338,0.6212993025493025,0.09680485725402832,1.4127551208321865,0.38461538461538464
223,teachingAssistant,7,5,151,3,0,49,1115,0.7723237884897549,0.09508562088012695,0.9008583067671249,0.6052631578947368
224,tae,6,3,151,3,0,49,48,0.7534916573466993,0.07257461547851562,0.9485462735358038,0.6052631578947368
225,iris,5,1,150,3,0,50,61,0.994761316872428,0.05953502655029297,0.1599228869074068,0.92
226,iris-example,5,1,150,3,0,50,42261,0.994761316872428,0.05652618408203125,0.15992294730767753,0.92
227,sleuth_case2002,7,5,147,2,0,69,902,0.6402930402930403,0.0700836181640625,0.7395561293547822,0.5945945945945946
228,kc1-top5,95,1,145,2,0,8,1045,0.9366197183098592,0.11156725883483887,0.09898000348946207,0.9452054794520548
229,kc1-binary,95,1,145,2,0,60,1066,0.8648233486943164,0.12193512916564941,0.43761793865937076,0.7945205479452054
230,newton_hema,4,2,140,2,0,70,784,0.7713815789473684,0.07290863990783691,0.5827834523482515,0.6714285714285714
231,veteran,8,5,137,2,0,43,719,0.8212962962962963,0.08115410804748535,0.5903622162514839,0.6811594202898551
232,analcatdata_boxing2,4,4,132,2,0,61,444,0.8173345759552656,0.08064508438110352,0.5575698666895429,0.803030303030303
233,analcatdata_seropositive,4,2,132,2,0,46,921,0.9990079365079365,0.043625831604003906,0.06680048775337072,0.9848484848484849
234,transplant,4,1,131,2,0,48,885,1.0,0.034868478775024414,0.026269740192412537,1.0
235,datatrieve,9,1,130,2,0,11,1075,0.8870967741935484,0.06587529182434082,0.1566224238727815,0.9538461538461539
236,visualizing_livestock,3,2,130,5,0,26,685,0.29019630686056025,0.08163785934448242,2.140463627760227,0.06153846153846154
237,humandevel,2,1,130,2,0,65,924,0.959280303030303,0.02649712562561035,0.3963010769713527,0.7846153846153846
238,mux6,7,7,128,2,0,64,40681,0.9566502463054187,0.07108855247497559,0.3110946042579599,0.84375
239,MindCave2,40,1,125,2,0,44,1450,0.7663265306122449,0.09780406951904297,0.7069389545136974,0.5873015873015873
240,fruitfly,5,3,125,2,0,49,714,0.6527777777777777,0.06641936302185059,0.6957188059413244,0.5714285714285714
241,KungChi3,40,1,123,2,0,16,1441,0.8784067085953879,0.09368348121643066,0.30108350463542005,0.8709677419354839
242,heart-switzerland,13,1,123,5,0,5,1513,0.5773920148863348,0.07407689094543457,1.3926905754112429,0.4032258064516129
243,ar1,30,1,121,2,0,9,1059,0.7543859649122807,0.08930063247680664,0.22854549812580474,0.9344262295081968
244,analcatdata_boxing1,4,4,120,2,0,42,448,0.6217142857142858,0.07417774200439453,0.7696417102279762,0.5333333333333333
245,rabe_266,3,1,120,2,0,57,782,0.9977753058954394,0.02823019027709961,0.14365606239284717,0.95
246,robot-failures-lp4,91,1,117,3,0,21,1519,0.9680458430458431,0.10234212875366211,0.6118104430073399,0.7966101694915254
247,visualizing_environmental,4,1,111,2,0,53,736,0.7994652406417113,0.030968904495239258,0.6007627991826406,0.6785714285714286
248,cloud,8,2,108,2,0,32,890,0.4819078947368421,0.056470394134521484,0.6141085942034368,0.7037037037037037
249,analcatdata_michiganacc,4,3,108,2,0,48,771,0.8366477272727273,0.07158732414245605,0.563957417142336,0.7037037037037037
250,ar4,30,1,107,2,0,20,1061,0.7818181818181819,0.07700204849243164,0.3946026612797545,0.8518518518518519
252,breast-tissue,10,1,106,6,0,14,1465,0.7303627043884201,0.05990004539489746,1.5542898774147034,0.37735849056603776
253,ar6,30,1,101,2,0,15,1064,0.7068181818181819,0.07727336883544922,0.6470037039332822,0.803921568627451
254,zoo,17,16,101,7,0,4,62,0.9885582010582011,0.058475494384765625,0.5641709944488955,0.8627450980392157
255,fertility,10,1,100,2,0,12,1473,0.6521739130434783,0.0554962158203125,0.3127145700156689,0.88
256,analcatdata_creditscore,7,4,100,2,0,27,461,0.8395721925133689,0.05488944053649902,0.6739451243440271,0.74
257,blogger,6,6,100,2,0,32,1463,0.8191850594227504,0.05807662010192871,0.5401262605935335,0.74
258,analcatdata_chlamydia,4,4,100,2,0,19,875,0.995,0.0622711181640625,0.17566273702308535,0.92
